mysql> select * from Dates_D;
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
| date_id | date       | day       | day_of_week | day_of_month | day_of_year | previous_day | next_day   | weekend | week_of_year | month     | month_of_year | quarter_of_year | year |
+---------+------------+-----------+-------------+--------------+-------------+--------------+------------+---------+--------------+-----------+---------------+-----------------+------+
|       0 | 2010-01-01 | Friday    |           6 |            1 |           1 | 2009-12-31   | 2010-01-02 | Weekday | 52           | January   | 01            |               1 | 2010 |
|       1 | 2010-01-02 | Saturday  |           7 |            2 |           2 | 2010-01-01   | 2010-01-03 | Weekend | 52           | January   | 01            |               1 | 2010 |
|       2 | 2010-01-03 | Sunday    |           1 |            3 |           3 | 2010-01-02   | 2010-01-04 | Weekend | 01           | January   | 01            |               1 | 2010 |
|       3 | 2010-01-04 | Monday    |           2 |            4 |           4 | 2010-01-03   | 2010-01-05 | Weekday | 01           | January   | 01            |               1 | 2010 |
|       4 | 2010-01-05 | Tuesday   |           3 |            5 |           5 | 2010-01-04   | 2010-01-06 | Weekday | 01           | January   | 01            |               1 | 2010 |
|       5 | 2010-01-06 | Wednesday |           4 |            6 |           6 | 2010-01-05   | 2010-01-07 | Weekday | 01           | January   | 01            |               1 | 2010 |
|       6 | 2010-01-07 | Thursday  |           5 |            7 |           7 | 2010-01-06   | 2010-01-08 | Weekday | 01           | January   | 01            |               1 | 2010 |
|       7 | 2010-01-08 | Friday    |           6 |            8 |           8 | 2010-01-07   | 2010-01-09 | Weekday | 01           | January   | 01            |               1 | 2010 |
|       8 | 2010-01-09 | Saturday  |           7 |            9 |           9 | 2010-01-08   | 2010-01-10 | Weekend | 01           | January   | 01            |               1 | 2010 |
|       9 | 2010-01-10 | Sunday    |           1 |           10 |          10 | 2010-01-09   | 2010-01-11 | Weekend | 02           | January   | 01            |               1 | 2010 |
|      10 | 2010-01-11 | Monday    |           2 |           11 |          11 | 2010-01-10   | 2010-01-12 | Weekday | 02           | January   | 01            |               1 | 2010 |
|      11 | 2010-01-12 | Tuesday   |           3 |           12 |          12 | 2010-01-11   | 2010-01-13 | Weekday | 02           | January   | 01            |               1 | 2010 |
|      12 | 2010-01-13 | Wednesday |           4 |           13 |          13 | 2010-01-12   | 2010-01-14 | Weekday | 02           | January   | 01            |               1 | 2010 |
|      13 | 2010-01-14 | Thursday  |           5 |           14 |          14 | 2010-01-13   | 2010-01-15 | Weekday | 02           | January   | 01            |               1 | 2010 |
|      14 | 2010-01-15 | Friday    |           6 |           15 |          15 | 2010-01-14   | 2010-01-16 | Weekday | 02           | January   | 01            |               1 | 2010 |
|      15 | 2010-01-16 | Saturday  |           7 |           16 |          16 | 2010-01-15   | 2010-01-17 | Weekend | 02           | January   | 01            |               1 | 2010 |
|      16 | 2010-01-17 | Sunday    |           1 |           17 |          17 | 2010-01-16   | 2010-01-18 | Weekend | 03           | January   | 01            |               1 | 2010 |
|      17 | 2010-01-18 | Monday    |           2 |           18 |          18 | 2010-01-17   | 2010-01-19 | Weekday | 03           | January   | 01            |               1 | 2010 |
|      18 | 2010-01-19 | Tuesday   |           3 |           19 |          19 | 2010-01-18   | 2010-01-20 | Weekday | 03           | January   | 01            |               1 | 2010 |
|      19 | 2010-01-20 | Wednesday |           4 |           20 |          20 | 2010-01-19   | 2010-01-21 | Weekday | 03           | January   | 01            |               1 | 2010 |
|      20 | 2010-01-21 | Thursday  |           5 |           21 |          21 | 2010-01-20   | 2010-01-22 | Weekday | 03           | January   | 01            |               1 | 2010 |
|      21 | 2010-01-22 | Friday    |           6 |           22 |          22 | 2010-01-21   | 2010-01-23 | Weekday | 03           | January   | 01            |               1 | 2010 |
|      22 | 2010-01-23 | Saturday  |           7 |           23 |          23 | 2010-01-22   | 2010-01-24 | Weekend | 03           | January   | 01            |               1 | 2010 |
|      23 | 2010-01-24 | Sunday    |           1 |           24 |          24 | 2010-01-23   | 2010-01-25 | Weekend | 04           | January   | 01            |               1 | 2010 |
|      24 | 2010-01-25 | Monday    |           2 |           25 |          25 | 2010-01-24   | 2010-01-26 | Weekday | 04           | January   | 01            |               1 | 2010 |
|      25 | 2010-01-26 | Tuesday   |           3 |           26 |          26 | 2010-01-25   | 2010-01-27 | Weekday | 04           | January   | 01            |               1 | 2010 |
|      26 | 2010-01-27 | Wednesday |           4 |           27 |          27 | 2010-01-26   | 2010-01-28 | Weekday | 04           | January   | 01            |               1 | 2010 |
|      27 | 2010-01-28 | Thursday  |           5 |           28 |          28 | 2010-01-27   | 2010-01-29 | Weekday | 04           | January   | 01            |               1 | 2010 |
|      28 | 2010-01-29 | Friday    |           6 |           29 |          29 | 2010-01-28   | 2010-01-30 | Weekday | 04           | January   | 01            |               1 | 2010 |
|      29 | 2010-01-30 | Saturday  |           7 |           30 |          30 | 2010-01-29   | 2010-01-31 | Weekend | 04           | January   | 01            |               1 | 2010 |
|      30 | 2010-01-31 | Sunday    |           1 |           31 |          31 | 2010-01-30   | 2010-02-01 | Weekend | 05           | January   | 01            |               1 | 2010 |
|      31 | 2010-02-01 | Monday    |           2 |            1 |          32 | 2010-01-31   | 2010-02-02 | Weekday | 05           | February  | 02            |               1 | 2010 |
|      32 | 2010-02-02 | Tuesday   |           3 |            2 |          33 | 2010-02-01   | 2010-02-03 | Weekday | 05           | February  | 02            |               1 | 2010 |
|      33 | 2010-02-03 | Wednesday |           4 |            3 |          34 | 2010-02-02   | 2010-02-04 | Weekday | 05           | February  | 02            |               1 | 2010 |
|      34 | 2010-02-04 | Thursday  |           5 |            4 |          35 | 2010-02-03   | 2010-02-05 | Weekday | 05           | February  | 02            |               1 | 2010 |
|      35 | 2010-02-05 | Friday    |           6 |            5 |          36 | 2010-02-04   | 2010-02-06 | Weekday | 05           | February  | 02            |               1 | 2010 |
|      36 | 2010-02-06 | Saturday  |           7 |            6 |          37 | 2010-02-05   | 2010-02-07 | Weekend | 05           | February  | 02            |               1 | 2010 |
|      37 | 2010-02-07 | Sunday    |           1 |            7 |          38 | 2010-02-06   | 2010-02-08 | Weekend | 06           | February  | 02            |               1 | 2010 |
|      38 | 2010-02-08 | Monday    |           2 |            8 |          39 | 2010-02-07   | 2010-02-09 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      39 | 2010-02-09 | Tuesday   |           3 |            9 |          40 | 2010-02-08   | 2010-02-10 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      40 | 2010-02-10 | Wednesday |           4 |           10 |          41 | 2010-02-09   | 2010-02-11 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      41 | 2010-02-11 | Thursday  |           5 |           11 |          42 | 2010-02-10   | 2010-02-12 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      42 | 2010-02-12 | Friday    |           6 |           12 |          43 | 2010-02-11   | 2010-02-13 | Weekday | 06           | February  | 02            |               1 | 2010 |
|      43 | 2010-02-13 | Saturday  |           7 |           13 |          44 | 2010-02-12   | 2010-02-14 | Weekend | 06           | February  | 02            |               1 | 2010 |
|      44 | 2010-02-14 | Sunday    |           1 |           14 |          45 | 2010-02-13   | 2010-02-15 | Weekend | 07           | February  | 02            |               1 | 2010 |
|      45 | 2010-02-15 | Monday    |           2 |           15 |          46 | 2010-02-14   | 2010-02-16 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      46 | 2010-02-16 | Tuesday   |           3 |           16 |          47 | 2010-02-15   | 2010-02-17 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      47 | 2010-02-17 | Wednesday |           4 |           17 |          48 | 2010-02-16   | 2010-02-18 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      48 | 2010-02-18 | Thursday  |           5 |           18 |          49 | 2010-02-17   | 2010-02-19 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      49 | 2010-02-19 | Friday    |           6 |           19 |          50 | 2010-02-18   | 2010-02-20 | Weekday | 07           | February  | 02            |               1 | 2010 |
|      50 | 2010-02-20 | Saturday  |           7 |           20 |          51 | 2010-02-19   | 2010-02-21 | Weekend | 07           | February  | 02            |               1 | 2010 |
|      51 | 2010-02-21 | Sunday    |           1 |           21 |          52 | 2010-02-20   | 2010-02-22 | Weekend | 08           | February  | 02            |               1 | 2010 |
|      52 | 2010-02-22 | Monday    |           2 |           22 |          53 | 2010-02-21   | 2010-02-23 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      53 | 2010-02-23 | Tuesday   |           3 |           23 |          54 | 2010-02-22   | 2010-02-24 | Weekday | 08           | February  | 02            |               1 | 2010 |
|      54 | 2010-02-24 | Wednesday |           4 |           24 |          55 | 2010-02-23   | 2010-02-25 | Weekday | 08           | February  | 02            |               1 | 2010 |
